System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.52(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.39(Debug=False)

Meldungen
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Einlauf Vereinzelung Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Auslauf Vereinzelung Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Auslauf Vereinzelung Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Quertranspot Auslauf Vereinzelung Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Band 2 Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Band 2 Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Band 2 Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Pointer" des Items "RFC_IDB Ofen Band 2 Störerfassung.Stöber Umrichter Störungen"Anstehende Meldungen"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Allgemein Störerfassung.IDB Sammelmeldung"Störungen ohne Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Allgemein Störerfassung.IDB Sammelmeldung"Störung Teilstart"" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
08.10.2020 10:49:08   | Meldung | Der Datentyp "S7_Any" des Items "RFC_IDB Ofen Allgemein Störerfassung.IDB SammelmeldungBedienerführungen" wird nicht unterstützt! | TIAParser.CreateMemberInfo() | 
